PMID	row_count	min_ensure_id	max_ensure_id	year	journal	title	doi	pmcid	status	pubmed_url	doi_url	pmc_html	pmc_xml	pmc_pdf	supplementary_downloaded	supplementary_attempted	missing_pdbid	missing_origin_secondary_structure	missing_sup_secondary_structure	missing_origin_sequence	missing_sup_sequence	manual_reasons
11866580	1			2002	Journal of the American Chemical Society	Adding L-3-(2-Naphthyl)alanine to the genetic code of E. coli.	10.1021/ja012307j		manual_required	https://pubmed.ncbi.nlm.nih.gov/11866580/	https://doi.org/10.1021/ja012307j				0	0	0	1	1	1	1	No PMCID in PubMed metadata; full text and supplements may require publisher access. | DOI landing page download failed: HTTP 403: Forbidden
12409460	2			2002	Nucleic acids research	Site-specific incorporation of an unnatural amino acid into proteins in mammalian cells.	10.1093/nar/gkf589	PMC135798	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/12409460/	https://doi.org/10.1093/nar/gkf589	field-curation-workdir/full_tRNAtherapeutics/papers/12409460/12409460_PMC135798.html	field-curation-workdir/full_tRNAtherapeutics/papers/12409460/12409460_PMC135798.xml		0	0	0	0	0	0	0	DOI landing page download failed: HTTP 403: Forbidden | No supplementary links were discovered automatically on the PMC page/XML.
12466560	1			2002	Nucleic acids research	Monitoring mis-acylated tRNA suppression efficiency in mammalian cells via EGFP fluorescence recovery.	10.1093/nar/gnf128	PMC137983	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/12466560/	https://doi.org/10.1093/nar/gnf128	field-curation-workdir/full_tRNAtherapeutics/papers/12466560/12466560_PMC137983.html	field-curation-workdir/full_tRNAtherapeutics/papers/12466560/12466560_PMC137983.xml		0	0	0	0	0	0	0	DOI landing page download failed: HTTP 403: Forbidden | No supplementary links were discovered automatically on the PMC page/XML.
12582239	3			2003	Nucleic acids research	Translational nonsense codon suppression as indicator for functional pre-tRNA splicing in transformed Arabidopsis hypocotyl-derived calli.	10.1093/nar/gkg220	PMC150238	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/12582239/	https://doi.org/10.1093/nar/gkg220	field-curation-workdir/full_tRNAtherapeutics/papers/12582239/12582239_PMC150238.html	field-curation-workdir/full_tRNAtherapeutics/papers/12582239/12582239_PMC150238.xml		0	0	0	0	0	0	0	DOI landing page download failed: HTTP 403: Forbidden | No supplementary links were discovered automatically on the PMC page/XML.
15187228	1			2004	Proceedings of the National Academy of Sciences of the United States of America	Selective incorporation of 5-hydroxytryptophan into proteins in mammalian cells.	10.1073/pnas.0307029101	PMC428441	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/15187228/	https://doi.org/10.1073/pnas.0307029101	field-curation-workdir/full_tRNAtherapeutics/papers/15187228/15187228_PMC428441.html	field-curation-workdir/full_tRNAtherapeutics/papers/15187228/15187228_PMC428441.xml		0	0	0	0	0	0	0	DOI landing page download failed: HTTP 403: Forbidden | No supplementary links were discovered automatically on the PMC page/XML.
15222758	1			2004	Biochemistry	Site-specific insertion of spin-labeled L-amino acids in Xenopus oocytes.	10.1021/bi035542i		manual_required	https://pubmed.ncbi.nlm.nih.gov/15222758/	https://doi.org/10.1021/bi035542i				0	0	0	1	0	1	0	No PMCID in PubMed metadata; full text and supplements may require publisher access. | DOI landing page download failed: HTTP 403: Forbidden
15576346	3			2004	Nucleic acids research	Complete set of orthogonal 21st aminoacyl-tRNA synthetase-amber, ochre and opal suppressor tRNA pairs: concomitant suppression of three different termination codons in an mRNA in mammalian cells.	10.1093/nar/gkh959	PMC535668	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/15576346/	https://doi.org/10.1093/nar/gkh959	field-curation-workdir/full_tRNAtherapeutics/papers/15576346/15576346_PMC535668.html	field-curation-workdir/full_tRNAtherapeutics/papers/15576346/15576346_PMC535668.xml		0	0	0	0	0	0	0	DOI landing page download failed: HTTP 403: Forbidden | No supplementary links were discovered automatically on the PMC page/XML.
17360621	39			2007	Proceedings of the National Academy of Sciences of the United States of America	Pyrrolysine is not hardwired for cotranslational insertion at UAG codons.	10.1073/pnas.0611634104	PMC1805618	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/17360621/	https://doi.org/10.1073/pnas.0611634104	field-curation-workdir/full_tRNAtherapeutics/papers/17360621/17360621_PMC1805618.html	field-curation-workdir/full_tRNAtherapeutics/papers/17360621/17360621_PMC1805618.xml		0	0	0	0	0	0	0	DOI landing page download failed: HTTP 403: Forbidden | No supplementary links were discovered automatically on the PMC page/XML.
17685515	8			2007	Journal of the American Chemical Society	Site-specific incorporation of tryptophan analogues into recombinant proteins in bacterial cells.	10.1021/ja071773r		manual_required	https://pubmed.ncbi.nlm.nih.gov/17685515/	https://doi.org/10.1021/ja071773r				0	0	0	0	0	0	0	No PMCID in PubMed metadata; full text and supplements may require publisher access. | DOI landing page download failed: Remote end closed connection without response
17698637	2			2007	RNA (New York, N.Y.)	Improved amber and opal suppressor tRNAs for incorporation of unnatural amino acids in vivo. Part 2: evaluating suppression efficiency.	10.1261/rna.667607	PMC1986817	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/17698637/	https://doi.org/10.1261/rna.667607	field-curation-workdir/full_tRNAtherapeutics/papers/17698637/17698637_PMC1986817.html	field-curation-workdir/full_tRNAtherapeutics/papers/17698637/17698637_PMC1986817.xml		0	0	0	2	2	2	2	No supplementary links were discovered automatically on the PMC page/XML.
